,MSCI_World,Global_Bonds,Gold,Bitcoin,Ethereum,XRP,BNB,Solana
2014-01-01,100.15390368482187,99.70034958746967,100.47495814690382,94.08027133254849,,89.59124719247178,,
2014-01-02,100.72123641802952,99.80284747687726,100.45856977848011,92.05839827409937,,85.11957404911291,,
2014-01-03,100.7080857949416,100.32812764690759,100.24221589056424,101.61554040582534,,79.46413158736992,,
2014-01-06,99.4391146518061,99.80643006650844,99.69948539059045,97.75316352012922,,82.96334426645348,,
2014-01-07,99.49661325585437,99.91144587464903,99.63374096810091,111.13814908515998,,83.4270272153946,,
2014-01-08,98.29719085125481,99.78373963921347,99.5086224521272,109.71867879044599,,81.82071089036695,,
2014-01-09,97.89275704717886,99.78676327734507,99.85008234116648,108.86295890356563,,75.89069650940577,,
2014-01-10,98.85696968540549,99.91711916224402,99.24516237093273,118.10066826954908,,76.99367724251636,,
2014-01-13,98.40081407382837,99.77861869531394,98.30192600359422,116.11138364200424,,79.37517039365676,,
2014-01-14,98.18715250433921,99.98976827708844,96.24540225699523,117.2837196932011,,79.19829268004544,,
2014-01-15,98.92648343097575,100.25615034529869,96.99112259104697,112.71042541734371,,85.16650203740343,,
2014-01-16,99.26896359598348,100.06622978614578,97.90209090068605,107.0939252946748,,86.13747394110352,,
2014-01-17,99.80369893589976,100.53575708138307,98.85433328117001,103.7983506602745,,89.96709920355796,,
2014-01-20,99.03173026361333,100.06040038089571,98.58164980116295,103.63935245806348,,90.85070360011707,,
2014-01-21,99.42750608285422,100.263432220476,99.37882937320965,100.60017395821114,,87.74917616613513,,
2014-01-22,99.47295095803004,100.45034771490064,99.63881392282131,92.9087667171035,,96.33712046188381,,
2014-01-23,97.62110804736487,100.59302101189704,99.00988033210689,93.31324556403979,,95.97365706477272,,
2014-01-24,97.57956712989387,100.64520444770855,97.75380725580528,92.13456779542845,,99.9667211573399,,
2014-01-27,95.35742293164346,100.66084931312847,96.46205213885285,88.65722071929706,,90.4514966020459,,
2014-01-28,94.15358860901968,100.47705740829397,95.55504267451231,84.7375057850329,,82.68743123966196,,
2014-01-29,92.58315190440658,100.47943875067746,95.45915360458989,74.49566710843118,,78.98959592698738,,
2014-01-30,92.2173556423528,100.56395531304612,96.49780698104608,80.02236238434071,,74.9144439684468,,
2014-01-31,91.01062675320179,100.98094589125999,95.68252835856308,76.98087211885908,,75.90483882541842,,
2014-02-03,91.82391010050488,100.86006916276051,96.04476994850233,79.29736308212468,,78.18260191800547,,
2014-02-04,90.96716815387748,101.24181894245679,96.2972002127519,84.882108018614,,84.39708331627742,,
2014-02-05,91.1953224328279,101.3681383723426,95.70000034390411,89.32425793508621,,87.11522214222978,,
2014-02-06,90.06887727319976,101.04354369772015,93.57289859734725,87.13106617766684,,77.60660125396487,,
2014-02-07,89.66757255718134,100.8297629079081,92.87222051274274,86.63146222341827,,81.31230201730962,,
2014-02-10,89.64911531492916,100.97303261300674,91.91528751773633,87.93575357432032,,78.11494102663636,,
2014-02-11,90.05673323126331,100.61373163273201,91.75457796238138,91.98552036955209,,74.89561344042033,,
2014-02-12,89.5602896179309,100.02529455865941,91.09211708158485,92.59174504135362,,73.0219101603573,,
2014-02-13,88.73693374292674,100.17217629050144,90.79958275858945,90.21870014033432,,72.31627157094718,,
2014-02-14,88.01459141099006,99.62233473649859,90.33064900341198,90.98274919583935,,75.54405919904285,,
2014-02-17,87.32745250090507,99.914128862328,90.34257362865479,91.66736820676958,,88.1568593938867,,
2014-02-18,88.41692979754639,100.03428384407462,90.14062943061008,96.23881901950894,,92.24637123921,,
2014-02-19,87.86091239635543,100.00323948815557,90.41164543561602,96.19388047688045,,99.1301866627176,,
2014-02-20,88.11788903247533,100.0467594749538,89.3368548717968,102.59305323193102,,97.80504697082374,,
2014-02-21,88.69141291475431,100.32938655557375,89.70189380232199,105.01711937253665,,101.47103143964354,,
2014-02-24,88.27014069675062,100.18920393941386,89.73571028669569,108.68556624863153,,97.27283895793887,,
2014-02-25,87.9493459840229,100.09951076829348,89.19426740983968,108.89736514893602,,94.61896764252744,,
2014-02-26,87.80883011024106,100.1108685585827,88.2334842831602,106.36951930626395,,102.76781222452811,,
2014-02-27,87.83291051500758,100.43639278010303,88.65733815025536,102.06187578489103,,105.71383207993877,,
2014-02-28,86.83564235535574,100.58175281260785,87.79474701089069,99.72117273657395,,106.08186548161862,,
